system	file	local_mirror	remote_source	size_bytes	sha256	access
Al16_OH	DOSCAR	E:\Codex project\projection 6\artifacts\pdos_oh_o_inputs_20260824\Al16_OH\DOSCAR	/home/ftfan/ncw/sfs/CoOH/cp2k/Al16/oer/spin_config_scan_site03_5OH_current_20260714/vasp_jacs6c06054_reconstructed_exact_Al16_3x2_20260809/electronic_structure_al_contribution_20260818/cohp_oh_o_corrected_20260820/Al16_adjacent/OH/DOSCAR	23925201	71a6a8f745a32b73e3ee0e2cfc4ce9cf8c4ab41a3de096e365495dd28c7aef11	read_only
Al16_OH	POSCAR	E:\Codex project\projection 6\artifacts\pdos_oh_o_inputs_20260824\Al16_OH\POSCAR	/home/ftfan/ncw/sfs/CoOH/cp2k/Al16/oer/spin_config_scan_site03_5OH_current_20260714/vasp_jacs6c06054_reconstructed_exact_Al16_3x2_20260809/electronic_structure_al_contribution_20260818/cohp_oh_o_corrected_20260820/Al16_adjacent/OH/POSCAR	38605	260ae59983e1700179dba19b4a89ebdbfeb0302853816ebca48f700d8131a1ed	read_only
Al16_OH	COHPCAR.lobster	E:\Codex project\projection 6\artifacts\cohp_oh_o_inputs_20260824\Al16_OH\COHPCAR.lobster	/home/ftfan/ncw/sfs/CoOH/cp2k/Al16/oer/spin_config_scan_site03_5OH_current_20260714/vasp_jacs6c06054_reconstructed_exact_Al16_3x2_20260809/electronic_structure_al_contribution_20260818/cohp_bader_formal_oh_o_20260822/Al16_adjacent/OH_nomadelung/COHPCAR.lobster	100614	3391216dbc03282e081706ef05d524d8a25f42ea68445c811b5d88dd1003e5a7	read_only
Al16_OH	ICOHPLIST.lobster	E:\Codex project\projection 6\artifacts\cohp_oh_o_inputs_20260824\Al16_OH\ICOHPLIST.lobster	/home/ftfan/ncw/sfs/CoOH/cp2k/Al16/oer/spin_config_scan_site03_5OH_current_20260714/vasp_jacs6c06054_reconstructed_exact_Al16_3x2_20260809/electronic_structure_al_contribution_20260818/cohp_bader_formal_oh_o_20260822/Al16_adjacent/OH_nomadelung/ICOHPLIST.lobster	608	bc298d04246ee747b2dd49001520fa87e6e71ab6ac0a0395b5f4400a6e01e90e	read_only
Al16_OH	lobsterout	E:\Codex project\projection 6\artifacts\cohp_oh_o_inputs_20260824\Al16_OH\lobsterout	/home/ftfan/ncw/sfs/CoOH/cp2k/Al16/oer/spin_config_scan_site03_5OH_current_20260714/vasp_jacs6c06054_reconstructed_exact_Al16_3x2_20260809/electronic_structure_al_contribution_20260818/cohp_bader_formal_oh_o_20260822/Al16_adjacent/OH_nomadelung/lobsterout	2553	41e62db87d85ff799c81c9fac52a32571a27a0b48026e6001d235d75be9ba672	read_only
Al16_O	DOSCAR	E:\Codex project\projection 6\artifacts\pdos_oh_o_inputs_20260824\Al16_O\DOSCAR	/home/ftfan/ncw/sfs/CoOH/cp2k/Al16/oer/spin_config_scan_site03_5OH_current_20260714/vasp_jacs6c06054_reconstructed_exact_Al16_3x2_20260809/electronic_structure_al_contribution_20260818/cohp_oh_o_corrected_20260820/Al16_adjacent/O/DOSCAR	23856503	a45bcb158cfff97705012ec09d171b4651882155ec93a3bfb6a20461622ae130	read_only
Al16_O	POSCAR	E:\Codex project\projection 6\artifacts\pdos_oh_o_inputs_20260824\Al16_O\POSCAR	/home/ftfan/ncw/sfs/CoOH/cp2k/Al16/oer/spin_config_scan_site03_5OH_current_20260714/vasp_jacs6c06054_reconstructed_exact_Al16_3x2_20260809/electronic_structure_al_contribution_20260818/cohp_oh_o_corrected_20260820/Al16_adjacent/O/POSCAR	38495	b4f723aca55176908925267e4e7500123e5efcde7cbd7a3147acc1ec94cf27e5	read_only
Al16_O	COHPCAR.lobster	E:\Codex project\projection 6\artifacts\cohp_oh_o_inputs_20260824\Al16_O\COHPCAR.lobster	/home/ftfan/ncw/sfs/CoOH/cp2k/Al16/oer/spin_config_scan_site03_5OH_current_20260714/vasp_jacs6c06054_reconstructed_exact_Al16_3x2_20260809/electronic_structure_al_contribution_20260818/cohp_bader_formal_oh_o_20260822/Al16_adjacent/O_nomadelung/COHPCAR.lobster	100614	559d1024b07f0f752f7cef785ea7af79a23c3b021f202d32f00f0a172cc5616d	read_only
Al16_O	ICOHPLIST.lobster	E:\Codex project\projection 6\artifacts\cohp_oh_o_inputs_20260824\Al16_O\ICOHPLIST.lobster	/home/ftfan/ncw/sfs/CoOH/cp2k/Al16/oer/spin_config_scan_site03_5OH_current_20260714/vasp_jacs6c06054_reconstructed_exact_Al16_3x2_20260809/electronic_structure_al_contribution_20260818/cohp_bader_formal_oh_o_20260822/Al16_adjacent/O_nomadelung/ICOHPLIST.lobster	608	bbd3b9611137407e13db1a3c1fc4d18f6937841f31668507bd3bce50066d2e69	read_only
Al16_O	lobsterout	E:\Codex project\projection 6\artifacts\cohp_oh_o_inputs_20260824\Al16_O\lobsterout	/home/ftfan/ncw/sfs/CoOH/cp2k/Al16/oer/spin_config_scan_site03_5OH_current_20260714/vasp_jacs6c06054_reconstructed_exact_Al16_3x2_20260809/electronic_structure_al_contribution_20260818/cohp_bader_formal_oh_o_20260822/Al16_adjacent/O_nomadelung/lobsterout	2552	b2a08b1434bf2b1c733dfb6cdcb677f63f9907bbd530eb906e06ed5a7bc182f5	read_only
