energy_eV_rel_EF,spin,dos,projection,system,state
-5.68563,up,0.129944,Obridge p,pristine,*OH
-5.58063,down,0.13946,Obridge p,pristine,*OH
-5.58063,up,0.047229999999999994,Obridge p,pristine,*OH
-5.47463,down,0.14255,Obridge p,pristine,*OH
-5.47463,up,0.07000719999999999,Obridge p,pristine,*OH
-5.36963,down,0.075579,Obridge p,pristine,*OH
-5.36963,up,0.165331,Obridge p,pristine,*OH
-5.26363,down,0.020762000000000003,Obridge p,pristine,*OH
-5.26363,up,0.28508999999999995,Obridge p,pristine,*OH
-5.15863,down,0.014471999999999999,Obridge p,pristine,*OH
-5.15863,up,0.34218000000000004,Obridge p,pristine,*OH
-5.05363,down,0.022081,Obridge p,pristine,*OH
-5.05363,up,0.29959,Obridge p,pristine,*OH
-4.94763,down,0.012191,Obridge p,pristine,*OH
-4.94763,up,0.23956,Obridge p,pristine,*OH
-4.84263,down,-0.006515,Obridge p,pristine,*OH
-4.84263,up,0.21723,Obridge p,pristine,*OH
-4.73663,down,-0.004039999999999999,Obridge p,pristine,*OH
-4.73663,up,0.2104,Obridge p,pristine,*OH
-4.63163,down,0.057893999999999994,Obridge p,pristine,*OH
-4.63163,up,0.21373999999999999,Obridge p,pristine,*OH
-4.52563,down,0.18072,Obridge p,pristine,*OH
-4.52563,up,0.20489000000000002,Obridge p,pristine,*OH
-4.42063,down,0.3214,Obridge p,pristine,*OH
-4.42063,up,0.15814,Obridge p,pristine,*OH
-4.31463,down,0.42518,Obridge p,pristine,*OH
-4.31463,up,0.12056,Obridge p,pristine,*OH
-4.20963,down,0.41986,Obridge p,pristine,*OH
-4.20963,up,0.13201000000000002,Obridge p,pristine,*OH
-4.10363,down,0.4354,Obridge p,pristine,*OH
-4.10363,up,0.16912,Obridge p,pristine,*OH
-3.99863,down,0.604,Obridge p,pristine,*OH
-3.99863,up,0.18657,Obridge p,pristine,*OH
-3.89263,down,0.6696,Obridge p,pristine,*OH
-3.89263,up,0.15928,Obridge p,pristine,*OH
-3.78763,down,0.5112,Obridge p,pristine,*OH
-3.78763,up,0.10627,Obridge p,pristine,*OH
-3.68263,down,0.34121,Obridge p,pristine,*OH
-3.68263,up,0.102015,Obridge p,pristine,*OH
-3.57663,down,0.26968000000000003,Obridge p,pristine,*OH
-3.57663,up,0.21661999999999998,Obridge p,pristine,*OH
-3.47163,down,0.27265,Obridge p,pristine,*OH
-3.47163,up,0.39968000000000004,Obridge p,pristine,*OH
-3.36563,down,0.29288000000000003,Obridge p,pristine,*OH
-3.36563,up,0.48197,Obridge p,pristine,*OH
-3.26063,down,0.29906,Obridge p,pristine,*OH
-3.26063,up,0.38527999999999996,Obridge p,pristine,*OH
-3.15463,down,0.31595,Obridge p,pristine,*OH
-3.15463,up,0.27032,Obridge p,pristine,*OH
-3.04963,down,0.347,Obridge p,pristine,*OH
-3.04963,up,0.26847,Obridge p,pristine,*OH
-2.94363,down,0.39261,Obridge p,pristine,*OH
-2.94363,up,0.29766,Obridge p,pristine,*OH
-2.83863,down,0.40187,Obridge p,pristine,*OH
-2.83863,up,0.28129000000000004,Obridge p,pristine,*OH
-2.73263,down,0.36394,Obridge p,pristine,*OH
-2.73263,up,0.24085,Obridge p,pristine,*OH
-2.62763,down,0.38839,Obridge p,pristine,*OH
-2.62763,up,0.20602,Obridge p,pristine,*OH
-2.52163,down,0.43949,Obridge p,pristine,*OH
-2.52163,up,0.17271999999999998,Obridge p,pristine,*OH
-2.41663,down,0.40109,Obridge p,pristine,*OH
-2.41663,up,0.15359,Obridge p,pristine,*OH
-2.31163,down,0.35105,Obridge p,pristine,*OH
-2.31163,up,0.17038999999999999,Obridge p,pristine,*OH
-2.20563,down,0.35581,Obridge p,pristine,*OH
-2.20563,up,0.19664,Obridge p,pristine,*OH
-2.10063,down,0.33158,Obridge p,pristine,*OH
-2.10063,up,0.19633,Obridge p,pristine,*OH
-1.99463,down,0.24184999999999998,Obridge p,pristine,*OH
-1.99463,up,0.17228,Obridge p,pristine,*OH
-1.88963,down,0.13864,Obridge p,pristine,*OH
-1.88963,up,0.15655,Obridge p,pristine,*OH
-1.78363,down,0.09358,Obridge p,pristine,*OH
-1.78363,up,0.16421,Obridge p,pristine,*OH
-1.67863,down,0.11815,Obridge p,pristine,*OH
-1.67863,up,0.19469,Obridge p,pristine,*OH
-1.57263,down,0.128163,Obridge p,pristine,*OH
-1.57263,up,0.25046999999999997,Obridge p,pristine,*OH
-1.46763,down,0.079231,Obridge p,pristine,*OH
-1.46763,up,0.30397,Obridge p,pristine,*OH
-1.36163,down,0.027755600000000002,Obridge p,pristine,*OH
-1.36163,up,0.31066,Obridge p,pristine,*OH
-1.25663,down,0.026122,Obridge p,pristine,*OH
-1.25663,up,0.28097,Obridge p,pristine,*OH
-1.15063,down,0.08359,Obridge p,pristine,*OH
-1.15063,up,0.23995,Obridge p,pristine,*OH
-1.04563,down,0.19515,Obridge p,pristine,*OH
-1.04563,up,0.19011999999999998,Obridge p,pristine,*OH
-0.94063,down,0.29887,Obridge p,pristine,*OH
-0.94063,up,0.16105,Obridge p,pristine,*OH
-0.83463,down,0.29341,Obridge p,pristine,*OH
-0.83463,up,0.18257,Obridge p,pristine,*OH
-0.72963,down,0.17937,Obridge p,pristine,*OH
-0.72963,up,0.22421999999999997,Obridge p,pristine,*OH
-0.62363,down,0.060162,Obridge p,pristine,*OH
-0.62363,up,0.22948000000000002,Obridge p,pristine,*OH
-0.51863,down,0.0030583,Obridge p,pristine,*OH
-0.51863,up,0.19374,Obridge p,pristine,*OH
-0.41263,down,-0.006935,Obridge p,pristine,*OH
-0.41263,up,0.17207,Obridge p,pristine,*OH
-0.30763,down,-0.0022637,Obridge p,pristine,*OH
-0.30763,up,0.23779,Obridge p,pristine,*OH
-0.20163,down,0.0077195,Obridge p,pristine,*OH
-0.20163,up,0.36222,Obridge p,pristine,*OH
-0.09663,down,0.0169854,Obridge p,pristine,*OH
-0.09663,up,0.39395,Obridge p,pristine,*OH
0.00937,down,0.0138433,Obridge p,pristine,*OH
0.00937,up,0.26956,Obridge p,pristine,*OH
0.11437,down,0.0038328,Obridge p,pristine,*OH
0.11437,up,0.09903,Obridge p,pristine,*OH
0.22037,down,-0.0006878899999999999,Obridge p,pristine,*OH
0.22037,up,0.004184,Obridge p,pristine,*OH
0.32537,down,-0.0006063,Obridge p,pristine,*OH
0.32537,up,-0.010702,Obridge p,pristine,*OH
0.43037,down,-0.000130235,Obridge p,pristine,*OH
0.43037,up,0.00013659999999999996,Obridge p,pristine,*OH
0.53637,down,-1.30717e-05,Obridge p,pristine,*OH
0.53637,up,0.0074162,Obridge p,pristine,*OH
0.64137,down,-6.8686e-07,Obridge p,pristine,*OH
0.64137,up,0.0059185999999999996,Obridge p,pristine,*OH
0.74737,down,-2.8988e-08,Obridge p,pristine,*OH
0.74737,up,0.0014371899999999999,Obridge p,pristine,*OH
0.85237,down,-4.416e-07,Obridge p,pristine,*OH
0.85237,up,-0.00035345,Obridge p,pristine,*OH
0.95837,down,-1.1694e-05,Obridge p,pristine,*OH
0.95837,up,-0.00025427,Obridge p,pristine,*OH
1.06337,down,-0.00016819,Obridge p,pristine,*OH
1.06337,up,-5.1841e-05,Obridge p,pristine,*OH
1.16937,down,-0.0012393,Obridge p,pristine,*OH
1.16937,up,-5.042399999999999e-06,Obridge p,pristine,*OH
1.27437,down,-0.0038713,Obridge p,pristine,*OH
1.27437,up,-2.58805e-07,Obridge p,pristine,*OH
1.38037,down,0.0009781899999999999,Obridge p,pristine,*OH
1.38037,up,-7.2775e-09,Obridge p,pristine,*OH
1.48537,down,0.034497,Obridge p,pristine,*OH
1.48537,up,-1.14109e-10,Obridge p,pristine,*OH
1.59137,down,0.07769,Obridge p,pristine,*OH
1.59137,up,-1.00739e-12,Obridge p,pristine,*OH
1.69637,down,0.06787,Obridge p,pristine,*OH
1.69637,up,-5.0356e-15,Obridge p,pristine,*OH
1.80137,down,0.028572999999999998,Obridge p,pristine,*OH
1.80137,up,-5.664000000000001e-16,Obridge p,pristine,*OH
1.90737,down,0.047728,Obridge p,pristine,*OH
1.90737,up,-1.1163e-13,Obridge p,pristine,*OH
2.01237,down,0.100847,Obridge p,pristine,*OH
2.01237,up,-1.2812e-11,Obridge p,pristine,*OH
2.11837,down,0.08878,Obridge p,pristine,*OH
2.11837,up,-8.319e-10,Obridge p,pristine,*OH
2.22337,down,0.02866,Obridge p,pristine,*OH
2.22337,up,-3.0407e-08,Obridge p,pristine,*OH
2.32937,down,-0.0027278000000000003,Obridge p,pristine,*OH
2.32937,up,-6.196000000000001e-07,Obridge p,pristine,*OH
2.43437,down,-0.003989100000000001,Obridge p,pristine,*OH
2.43437,up,-6.8819999999999995e-06,Obridge p,pristine,*OH
2.54037,down,-0.0010572,Obridge p,pristine,*OH
2.54037,up,-3.922e-05,Obridge p,pristine,*OH
2.64537,down,-0.00026129,Obridge p,pristine,*OH
2.64537,up,-9.019e-05,Obridge p,pristine,*OH
