pair_role,energy_eV_rel_EF,minus_pCOHP_total,system,state
Coact-Oads,-3.3584,-0.021759999999999998,pristine,*OH
Coact-Oads,-3.30827,-0.005809999999999999,pristine,*OH
Coact-Oads,-3.25815,0.04896,pristine,*OH
Coact-Oads,-3.20802,0.01439,pristine,*OH
Coact-Oads,-3.15789,-0.06649,pristine,*OH
Coact-Oads,-3.10777,-0.15238000000000002,pristine,*OH
Coact-Oads,-3.05764,-0.20757,pristine,*OH
Coact-Oads,-3.00752,-0.17068,pristine,*OH
Coact-Oads,-2.95739,-0.09704,pristine,*OH
Coact-Oads,-2.90727,-0.05857,pristine,*OH
Coact-Oads,-2.85714,-0.06298,pristine,*OH
Coact-Oads,-2.80702,-0.05675,pristine,*OH
Coact-Oads,-2.75689,-0.020700000000000003,pristine,*OH
Coact-Oads,-2.70677,-0.01976,pristine,*OH
Coact-Oads,-2.65664,-0.04443999999999999,pristine,*OH
Coact-Oads,-2.60652,-0.07609,pristine,*OH
Coact-Oads,-2.55639,-0.07869999999999999,pristine,*OH
Coact-Oads,-2.50627,-0.06285,pristine,*OH
Coact-Oads,-2.45614,-0.06716,pristine,*OH
Coact-Oads,-2.40602,-0.10067999999999999,pristine,*OH
Coact-Oads,-2.35589,-0.09555000000000001,pristine,*OH
Coact-Oads,-2.30576,-0.07833,pristine,*OH
Coact-Oads,-2.25564,-0.07535,pristine,*OH
Coact-Oads,-2.20551,-0.07896,pristine,*OH
Coact-Oads,-2.15539,-0.09436,pristine,*OH
Coact-Oads,-2.10526,-0.11850000000000001,pristine,*OH
Coact-Oads,-2.05514,-0.12292,pristine,*OH
Coact-Oads,-2.00501,-0.13973,pristine,*OH
Coact-Oads,-1.95489,-0.10364999999999999,pristine,*OH
Coact-Oads,-1.90476,-0.07677,pristine,*OH
Coact-Oads,-1.85464,-0.10327,pristine,*OH
Coact-Oads,-1.80451,-0.14743,pristine,*OH
Coact-Oads,-1.75439,-0.18338,pristine,*OH
Coact-Oads,-1.70426,-0.13156,pristine,*OH
Coact-Oads,-1.65414,-0.10493,pristine,*OH
Coact-Oads,-1.60401,-0.09149,pristine,*OH
Coact-Oads,-1.55388,-0.10861000000000001,pristine,*OH
Coact-Oads,-1.50376,-0.18558,pristine,*OH
Coact-Oads,-1.45363,-0.28602,pristine,*OH
Coact-Oads,-1.40351,-0.28974,pristine,*OH
Coact-Oads,-1.35338,-0.19493,pristine,*OH
Coact-Oads,-1.30326,-0.12907,pristine,*OH
Coact-Oads,-1.25313,-0.12768,pristine,*OH
Coact-Oads,-1.20301,-0.16071,pristine,*OH
Coact-Oads,-1.15288,-0.21282,pristine,*OH
Coact-Oads,-1.10276,-0.24115,pristine,*OH
Coact-Oads,-1.05263,-0.23297,pristine,*OH
Coact-Oads,-1.00251,-0.22865999999999997,pristine,*OH
Coact-Oads,-0.95238,-0.25376,pristine,*OH
Coact-Oads,-0.90226,-0.28835,pristine,*OH
Coact-Oads,-0.85213,-0.25151,pristine,*OH
Coact-Oads,-0.80201,-0.24638000000000002,pristine,*OH
Coact-Oads,-0.75188,-0.25001,pristine,*OH
Coact-Oads,-0.70175,-0.21445999999999998,pristine,*OH
Coact-Oads,-0.65163,-0.24173,pristine,*OH
Coact-Oads,-0.6015,-0.20163,pristine,*OH
Coact-Oads,-0.55138,-0.11168,pristine,*OH
Coact-Oads,-0.50125,-0.13419999999999999,pristine,*OH
Coact-Oads,-0.45113,-0.17058,pristine,*OH
Coact-Oads,-0.401,-0.21997,pristine,*OH
Coact-Oads,-0.35088,-0.27268000000000003,pristine,*OH
Coact-Oads,-0.30075,-0.28319,pristine,*OH
Coact-Oads,-0.25063,-0.22793,pristine,*OH
Coact-Oads,-0.2005,-0.25986000000000004,pristine,*OH
Coact-Oads,-0.15038,-0.4512,pristine,*OH
Coact-Oads,-0.10025,-0.57386,pristine,*OH
Coact-Oads,-0.05013,-0.4098,pristine,*OH
Coact-Oads,0.0,-0.16463999999999998,pristine,*OH
Coact-Oads,0.05013,-0.03056,pristine,*OH
Coact-Oads,0.10025,-0.0027400000000000002,pristine,*OH
Coact-Oads,0.15038,-9e-05,pristine,*OH
Coact-Oads,0.2005,0.0,pristine,*OH
Coact-Oads,0.25063,0.0,pristine,*OH
Coact-Oads,0.30075,-5e-05,pristine,*OH
Coact-Oads,0.35088,-0.0032300000000000002,pristine,*OH
Coact-Oads,0.401,-0.0393,pristine,*OH
Coact-Oads,0.45113,-0.10819999999999999,pristine,*OH
Coact-Oads,0.50125,-0.10117000000000001,pristine,*OH
Coact-Oads,0.55138,-0.05745,pristine,*OH
Coact-Oads,0.6015,-0.012799999999999999,pristine,*OH
Coact-Oads,0.65163,-0.0006299999999999999,pristine,*OH
Coact-Oads,0.70175,0.0,pristine,*OH
Coact-Oads,0.75188,0.0,pristine,*OH
Coact-Oads,0.80201,0.0,pristine,*OH
Coact-Oads,0.85213,0.0,pristine,*OH
Coact-Oads,0.90226,0.0,pristine,*OH
Coact-Oads,0.95238,0.0,pristine,*OH
Coact-Oads,1.00251,0.0,pristine,*OH
Coact-Oads,1.05263,0.0,pristine,*OH
Coact-Oads,1.10276,0.0,pristine,*OH
Coact-Oads,1.15288,0.0,pristine,*OH
Coact-Oads,1.20301,0.0,pristine,*OH
Coact-Oads,1.25313,0.0,pristine,*OH
Coact-Oads,1.30326,0.0,pristine,*OH
Coact-Oads,1.35338,0.0,pristine,*OH
Coact-Oads,1.40351,0.0,pristine,*OH
Coact-Oads,1.45363,0.0,pristine,*OH
Coact-Oads,1.50376,0.0,pristine,*OH
Coact-Oads,1.55388,0.0,pristine,*OH
Coact-Oads,1.60401,0.0,pristine,*OH
Coact-Oads,1.65414,0.0,pristine,*OH
Coact-Oads,1.70426,0.0,pristine,*OH
Coact-Oads,1.75439,0.0,pristine,*OH
Coact-Oads,1.80451,0.0,pristine,*OH
Coact-Oads,1.85464,0.0,pristine,*OH
Coact-Oads,1.90476,0.0,pristine,*OH
Coact-Oads,1.95489,0.0,pristine,*OH
Coact-Oads,2.00501,0.0,pristine,*OH
Coact-Oads,2.05514,0.0,pristine,*OH
Coact-Oads,2.10526,0.0,pristine,*OH
Coact-Oads,2.15539,0.0,pristine,*OH
Coact-Oads,2.20551,0.0,pristine,*OH
Coact-Oads,2.25564,0.0,pristine,*OH
Coact-Oads,2.30576,0.0,pristine,*OH
Coact-Oads,2.35589,0.0,pristine,*OH
Coact-Oads,2.40602,0.0,pristine,*OH
Coact-Oads,2.45614,0.0,pristine,*OH
Coact-Oads,2.50627,0.0,pristine,*OH
Coact-Oads,2.55639,0.0,pristine,*OH
Coact-Oads,2.60652,0.0,pristine,*OH
Coact-Oads,2.65664,0.0,pristine,*OH
Coact-Oads,2.70677,0.0,pristine,*OH
Coact-Oads,2.75689,-4e-05,pristine,*OH
Coact-Oads,2.80702,-0.00262,pristine,*OH
Coact-Oads,2.85714,-0.03401,pristine,*OH
Coact-Oads,2.90727,-0.09366999999999999,pristine,*OH
Coact-Oads,2.95739,-0.13702,pristine,*OH
Coact-Obridge,-5.96491,0.44838999999999996,pristine,*OH
Coact-Obridge,-5.91479,0.30029,pristine,*OH
Coact-Obridge,-5.86466,0.46452000000000004,pristine,*OH
Coact-Obridge,-5.81454,0.48143,pristine,*OH
Coact-Obridge,-5.76441,0.33791,pristine,*OH
Coact-Obridge,-5.71429,0.21417999999999998,pristine,*OH
Coact-Obridge,-5.66416,0.12544,pristine,*OH
Coact-Obridge,-5.61404,0.14083,pristine,*OH
Coact-Obridge,-5.56391,0.3014,pristine,*OH
Coact-Obridge,-5.51378,0.39624,pristine,*OH
Coact-Obridge,-5.46366,0.24858,pristine,*OH
Coact-Obridge,-5.41353,0.0646,pristine,*OH
Coact-Obridge,-5.36341,0.00971,pristine,*OH
Coact-Obridge,-5.31328,-0.0009399999999999999,pristine,*OH
Coact-Obridge,-5.26316,-0.00014999999999999996,pristine,*OH
Coact-Obridge,-5.21303,5e-05,pristine,*OH
Coact-Obridge,-5.16291,0.00222,pristine,*OH
Coact-Obridge,-5.11278,0.01531,pristine,*OH
Coact-Obridge,-5.06266,0.01989,pristine,*OH
Coact-Obridge,-5.01253,0.00528,pristine,*OH
Coact-Obridge,-4.96241,0.00031999999999999997,pristine,*OH
Coact-Obridge,-4.91228,0.0,pristine,*OH
Coact-Obridge,-4.86216,0.0,pristine,*OH
Coact-Obridge,-4.81203,0.0,pristine,*OH
Coact-Obridge,-4.7619,0.0,pristine,*OH
Coact-Obridge,-4.71178,1e-05,pristine,*OH
Coact-Obridge,-4.66165,0.0007099999999999999,pristine,*OH
Coact-Obridge,-4.61153,0.012,pristine,*OH
Coact-Obridge,-4.5614,0.03817999999999999,pristine,*OH
Coact-Obridge,-4.51128,0.010070000000000003,pristine,*OH
Coact-Obridge,-4.46115,-0.04472999999999999,pristine,*OH
Coact-Obridge,-4.41103,-0.01296,pristine,*OH
Coact-Obridge,-4.3609,0.02455,pristine,*OH
Coact-Obridge,-4.31078,0.04554,pristine,*OH
Coact-Obridge,-4.26065,0.04356,pristine,*OH
Coact-Obridge,-4.21053,0.04052,pristine,*OH
Coact-Obridge,-4.1604,0.15293,pristine,*OH
Coact-Obridge,-4.11028,0.22022,pristine,*OH
Coact-Obridge,-4.06015,0.23031000000000001,pristine,*OH
Coact-Obridge,-4.01003,0.41947999999999996,pristine,*OH
Coact-Obridge,-3.9599,0.44265000000000004,pristine,*OH
Coact-Obridge,-3.90977,0.29223,pristine,*OH
Coact-Obridge,-3.85965,0.20235,pristine,*OH
Coact-Obridge,-3.80952,0.12604,pristine,*OH
Coact-Obridge,-3.7594,0.08063000000000001,pristine,*OH
Coact-Obridge,-3.70927,0.09694,pristine,*OH
Coact-Obridge,-3.65915,0.12131,pristine,*OH
Coact-Obridge,-3.60902,0.15991,pristine,*OH
Coact-Obridge,-3.5589,0.10859,pristine,*OH
Coact-Obridge,-3.50877,0.06117,pristine,*OH
Coact-Obridge,-3.45865,0.06701,pristine,*OH
Coact-Obridge,-3.40852,0.09326,pristine,*OH
Coact-Obridge,-3.3584,0.14007999999999998,pristine,*OH
Coact-Obridge,-3.30827,0.21182,pristine,*OH
Coact-Obridge,-3.25815,0.22608,pristine,*OH
Coact-Obridge,-3.20802,0.24703,pristine,*OH
Coact-Obridge,-3.15789,0.2339,pristine,*OH
Coact-Obridge,-3.10777,0.18253999999999998,pristine,*OH
Coact-Obridge,-3.05764,0.16035,pristine,*OH
Coact-Obridge,-3.00752,0.19377,pristine,*OH
Coact-Obridge,-2.95739,0.15546,pristine,*OH
Coact-Obridge,-2.90727,0.06025,pristine,*OH
Coact-Obridge,-2.85714,0.05031,pristine,*OH
Coact-Obridge,-2.80702,0.17420000000000002,pristine,*OH
Coact-Obridge,-2.75689,0.35366000000000003,pristine,*OH
Coact-Obridge,-2.70677,0.47752,pristine,*OH
Coact-Obridge,-2.65664,0.33744999999999997,pristine,*OH
Coact-Obridge,-2.60652,0.14568,pristine,*OH
Coact-Obridge,-2.55639,0.12198,pristine,*OH
Coact-Obridge,-2.50627,0.17667999999999998,pristine,*OH
Coact-Obridge,-2.45614,0.18118,pristine,*OH
Coact-Obridge,-2.40602,0.15180000000000002,pristine,*OH
Coact-Obridge,-2.35589,0.0949,pristine,*OH
Coact-Obridge,-2.30576,0.050409999999999996,pristine,*OH
Coact-Obridge,-2.25564,0.08043,pristine,*OH
Coact-Obridge,-2.20551,0.08917,pristine,*OH
Coact-Obridge,-2.15539,0.07476000000000001,pristine,*OH
Coact-Obridge,-2.10526,0.05491,pristine,*OH
Coact-Obridge,-2.05514,0.02114,pristine,*OH
Coact-Obridge,-2.00501,-0.00986,pristine,*OH
Coact-Obridge,-1.95489,0.004000000000000002,pristine,*OH
Coact-Obridge,-1.90476,0.05074999999999999,pristine,*OH
Coact-Obridge,-1.85464,0.06367,pristine,*OH
Coact-Obridge,-1.80451,0.002829999999999999,pristine,*OH
Coact-Obridge,-1.75439,-0.034910000000000004,pristine,*OH
Coact-Obridge,-1.70426,-0.02424,pristine,*OH
Coact-Obridge,-1.65414,-0.014240000000000001,pristine,*OH
Coact-Obridge,-1.60401,0.0009,pristine,*OH
Coact-Obridge,-1.55388,0.02573,pristine,*OH
Coact-Obridge,-1.50376,0.02679,pristine,*OH
Coact-Obridge,-1.45363,0.01108,pristine,*OH
Coact-Obridge,-1.40351,-0.0379,pristine,*OH
Coact-Obridge,-1.35338,-0.08356999999999999,pristine,*OH
Coact-Obridge,-1.30326,-0.07304,pristine,*OH
Coact-Obridge,-1.25313,-0.0254,pristine,*OH
Coact-Obridge,-1.20301,-0.03504,pristine,*OH
Coact-Obridge,-1.15288,-0.10690999999999999,pristine,*OH
Coact-Obridge,-1.10276,-0.16287,pristine,*OH
Coact-Obridge,-1.05263,-0.16784,pristine,*OH
Coact-Obridge,-1.00251,-0.16593999999999998,pristine,*OH
Coact-Obridge,-0.95238,-0.17543999999999998,pristine,*OH
Coact-Obridge,-0.90226,-0.16344,pristine,*OH
Coact-Obridge,-0.85213,-0.15043,pristine,*OH
Coact-Obridge,-0.80201,-0.09668,pristine,*OH
Coact-Obridge,-0.75188,-0.042159999999999996,pristine,*OH
Coact-Obridge,-0.70175,-0.02478,pristine,*OH
Coact-Obridge,-0.65163,-0.02252,pristine,*OH
Coact-Obridge,-0.6015,-0.02268,pristine,*OH
Coact-Obridge,-0.55138,-0.01431,pristine,*OH
Coact-Obridge,-0.50125,-0.00252,pristine,*OH
Coact-Obridge,-0.45113,-0.00024,pristine,*OH
Coact-Obridge,-0.401,-0.00030000000000000003,pristine,*OH
Coact-Obridge,-0.35088,-0.00011,pristine,*OH
Coact-Obridge,-0.30075,-1e-05,pristine,*OH
Coact-Obridge,-0.25063,0.0,pristine,*OH
Coact-Obridge,-0.2005,-8e-05,pristine,*OH
Coact-Obridge,-0.15038,-0.0012799999999999999,pristine,*OH
Coact-Obridge,-0.10025,-0.00343,pristine,*OH
Coact-Obridge,-0.05013,-0.0017300000000000002,pristine,*OH
Coact-Obridge,0.0,-0.00037,pristine,*OH
Coact-Obridge,0.05013,-0.00016,pristine,*OH
Coact-Obridge,0.10025,-2e-05,pristine,*OH
Coact-Obridge,0.15038,0.0,pristine,*OH
Coact-Obridge,0.2005,0.0,pristine,*OH
Coact-Obridge,0.25063,0.0,pristine,*OH
Coact-Obridge,0.30075,0.0,pristine,*OH
Coact-Obridge,0.35088,0.0,pristine,*OH
Coact-Obridge,0.401,0.0,pristine,*OH
Coact-Obridge,0.45113,0.0,pristine,*OH
Coact-Obridge,0.50125,0.0,pristine,*OH
Coact-Obridge,0.55138,0.0,pristine,*OH
Coact-Obridge,0.6015,0.0,pristine,*OH
Coact-Obridge,0.65163,0.0,pristine,*OH
Coact-Obridge,0.70175,0.0,pristine,*OH
Coact-Obridge,0.75188,0.0,pristine,*OH
Coact-Obridge,0.80201,0.0,pristine,*OH
Coact-Obridge,0.85213,0.0,pristine,*OH
Coact-Obridge,0.90226,0.0,pristine,*OH
Coact-Obridge,0.95238,0.0,pristine,*OH
Coact-Obridge,1.00251,0.0,pristine,*OH
Coact-Obridge,1.05263,0.0,pristine,*OH
Coact-Obridge,1.10276,0.0,pristine,*OH
Coact-Obridge,1.15288,0.0,pristine,*OH
Coact-Obridge,1.20301,0.0,pristine,*OH
Coact-Obridge,1.25313,0.0,pristine,*OH
Coact-Obridge,1.30326,0.0,pristine,*OH
Coact-Obridge,1.35338,0.0,pristine,*OH
Coact-Obridge,1.40351,-3.9999999999999996e-05,pristine,*OH
Coact-Obridge,1.45363,-0.00036,pristine,*OH
Coact-Obridge,1.50376,-0.00092,pristine,*OH
Coact-Obridge,1.55388,-0.0033,pristine,*OH
Coact-Obridge,1.60401,-0.0047799999999999995,pristine,*OH
Coact-Obridge,1.65414,-0.0020700000000000002,pristine,*OH
Coact-Obridge,1.70426,-0.00087,pristine,*OH
Coact-Obridge,1.75439,-0.0007400000000000001,pristine,*OH
Coact-Obridge,1.80451,-0.0002,pristine,*OH
Coact-Obridge,1.85464,-0.00023,pristine,*OH
Coact-Obridge,1.90476,-0.0095,pristine,*OH
Coact-Obridge,1.95489,-0.06971000000000001,pristine,*OH
Coact-Obridge,2.00501,-0.10197,pristine,*OH
Coact-Obridge,2.05514,-0.05243,pristine,*OH
Coact-Obridge,2.10526,-0.03157,pristine,*OH
Coact-Obridge,2.15539,-0.00825,pristine,*OH
Coact-Obridge,2.20551,-0.00155,pristine,*OH
Coact-Obridge,2.25564,-0.00057,pristine,*OH
Coact-Obridge,2.30576,-5e-05,pristine,*OH
Coact-Obridge,2.35589,0.0,pristine,*OH
Coact-Obridge,2.40602,0.0,pristine,*OH
Coact-Obridge,2.45614,0.0,pristine,*OH
Coact-Obridge,2.50627,0.0,pristine,*OH
Coact-Obridge,2.55639,0.0,pristine,*OH
Coact-Obridge,2.60652,0.0,pristine,*OH
Coact-Obridge,2.65664,0.0,pristine,*OH
Coact-Obridge,2.70677,0.0,pristine,*OH
Coact-Obridge,2.75689,0.0,pristine,*OH
Coact-Obridge,2.80702,0.0,pristine,*OH
Coact-Obridge,2.85714,-0.00051,pristine,*OH
Coact-Obridge,2.90727,-0.0125,pristine,*OH
Coact-Obridge,2.95739,-0.06431,pristine,*OH
Coact-Oads,-5.96491,0.03868,pristine,*O
Coact-Oads,-5.91479,0.05739,pristine,*O
Coact-Oads,-5.86466,0.03344,pristine,*O
Coact-Oads,-5.81454,0.02585,pristine,*O
Coact-Oads,-5.76441,0.05789,pristine,*O
Coact-Oads,-5.71429,0.09697,pristine,*O
Coact-Oads,-5.66416,0.23998,pristine,*O
Coact-Oads,-5.61404,0.89852,pristine,*O
Coact-Oads,-5.56391,1.05702,pristine,*O
Coact-Oads,-5.51378,0.92367,pristine,*O
Coact-Oads,-5.46366,0.82242,pristine,*O
Coact-Oads,-5.41353,0.5093799999999999,pristine,*O
Coact-Oads,-5.36341,0.26312,pristine,*O
Coact-Oads,-5.31328,0.13840000000000002,pristine,*O
Coact-Oads,-5.26316,0.13055,pristine,*O
Coact-Oads,-5.21303,0.13721,pristine,*O
Coact-Oads,-5.16291,0.10721,pristine,*O
Coact-Oads,-5.11278,0.09906999999999999,pristine,*O
Coact-Oads,-5.06266,0.11612,pristine,*O
Coact-Oads,-5.01253,0.09813,pristine,*O
Coact-Oads,-4.96241,0.07131,pristine,*O
Coact-Oads,-4.91228,0.046610000000000006,pristine,*O
Coact-Oads,-4.86216,0.04554,pristine,*O
Coact-Oads,-4.81203,0.06683,pristine,*O
Coact-Oads,-4.7619,0.052379999999999996,pristine,*O
Coact-Oads,-4.71178,0.08334,pristine,*O
Coact-Oads,-4.66165,0.15443,pristine,*O
Coact-Oads,-4.61153,0.19069999999999998,pristine,*O
Coact-Oads,-4.5614,0.14524,pristine,*O
Coact-Oads,-4.51128,0.12319,pristine,*O
Coact-Oads,-4.46115,0.11843,pristine,*O
Coact-Oads,-4.41103,0.07099000000000001,pristine,*O
Coact-Oads,-4.3609,0.041609999999999994,pristine,*O
Coact-Oads,-4.31078,0.02488,pristine,*O
Coact-Oads,-4.26065,0.02969,pristine,*O
Coact-Oads,-4.21053,0.029199999999999997,pristine,*O
Coact-Oads,-4.1604,0.06414,pristine,*O
Coact-Oads,-4.11028,0.11735,pristine,*O
Coact-Oads,-4.06015,0.15378,pristine,*O
Coact-Oads,-4.01003,0.1177,pristine,*O
Coact-Oads,-3.9599,0.07205,pristine,*O
Coact-Oads,-3.90977,0.08357,pristine,*O
Coact-Oads,-3.85965,0.08441,pristine,*O
Coact-Oads,-3.80952,0.07844999999999999,pristine,*O
Coact-Oads,-3.7594,0.04331,pristine,*O
Coact-Oads,-3.70927,0.012369999999999999,pristine,*O
Coact-Oads,-3.65915,0.01998,pristine,*O
Coact-Oads,-3.60902,0.07384,pristine,*O
Coact-Oads,-3.5589,0.07388,pristine,*O
Coact-Oads,-3.50877,0.0025900000000000003,pristine,*O
Coact-Oads,-3.45865,-0.02951,pristine,*O
Coact-Oads,-3.40852,-0.040069999999999995,pristine,*O
Coact-Oads,-3.3584,-0.05463,pristine,*O
Coact-Oads,-3.30827,-0.03191,pristine,*O
Coact-Oads,-3.25815,-0.00831,pristine,*O
Coact-Oads,-3.20802,-0.02018,pristine,*O
Coact-Oads,-3.15789,-0.06312999999999999,pristine,*O
Coact-Oads,-3.10777,-0.12721000000000002,pristine,*O
Coact-Oads,-3.05764,-0.13486,pristine,*O
Coact-Oads,-3.00752,-0.08468,pristine,*O
Coact-Oads,-2.95739,-0.07214999999999999,pristine,*O
Coact-Oads,-2.90727,-0.09464,pristine,*O
Coact-Oads,-2.85714,-0.06531999999999999,pristine,*O
Coact-Oads,-2.80702,-0.023329999999999997,pristine,*O
Coact-Oads,-2.75689,-0.0481,pristine,*O
Coact-Oads,-2.70677,-0.08778,pristine,*O
Coact-Oads,-2.65664,-0.09892000000000001,pristine,*O
Coact-Oads,-2.60652,-0.06338,pristine,*O
Coact-Oads,-2.55639,-0.06227,pristine,*O
Coact-Oads,-2.50627,-0.06425,pristine,*O
Coact-Oads,-2.45614,-0.08092999999999999,pristine,*O
Coact-Oads,-2.40602,-0.09679,pristine,*O
Coact-Oads,-2.35589,-0.08365,pristine,*O
Coact-Oads,-2.30576,-0.060629999999999996,pristine,*O
Coact-Oads,-2.25564,-0.04532,pristine,*O
Coact-Oads,-2.20551,-0.06348,pristine,*O
Coact-Oads,-2.15539,-0.10551999999999999,pristine,*O
Coact-Oads,-2.10526,-0.11408000000000001,pristine,*O
Coact-Oads,-2.05514,-0.10785,pristine,*O
Coact-Oads,-2.00501,-0.08942,pristine,*O
Coact-Oads,-1.95489,-0.08512,pristine,*O
Coact-Oads,-1.90476,-0.08847,pristine,*O
Coact-Oads,-1.85464,-0.09126999999999999,pristine,*O
Coact-Oads,-1.80451,-0.11396,pristine,*O
Coact-Oads,-1.75439,-0.15567,pristine,*O
Coact-Oads,-1.70426,-0.12309,pristine,*O
Coact-Oads,-1.65414,-0.1074,pristine,*O
Coact-Oads,-1.60401,-0.11643,pristine,*O
Coact-Oads,-1.55388,-0.11128,pristine,*O
Coact-Oads,-1.50376,-0.17845,pristine,*O
Coact-Oads,-1.45363,-0.34893,pristine,*O
Coact-Oads,-1.40351,-0.34999,pristine,*O
Coact-Oads,-1.35338,-0.24658000000000002,pristine,*O
Coact-Oads,-1.30326,-0.17911,pristine,*O
Coact-Oads,-1.25313,-0.17143,pristine,*O
Coact-Oads,-1.20301,-0.18834,pristine,*O
Coact-Oads,-1.15288,-0.22282,pristine,*O
Coact-Oads,-1.10276,-0.24186000000000002,pristine,*O
Coact-Oads,-1.05263,-0.23176,pristine,*O
Coact-Oads,-1.00251,-0.24108,pristine,*O
Coact-Oads,-0.95238,-0.23787,pristine,*O
Coact-Oads,-0.90226,-0.26836,pristine,*O
Coact-Oads,-0.85213,-0.27606,pristine,*O
Coact-Oads,-0.80201,-0.24095,pristine,*O
Coact-Oads,-0.75188,-0.22053,pristine,*O
Coact-Oads,-0.70175,-0.20394,pristine,*O
Coact-Oads,-0.65163,-0.23062,pristine,*O
Coact-Oads,-0.6015,-0.22219,pristine,*O
Coact-Oads,-0.55138,-0.13051,pristine,*O
Coact-Oads,-0.50125,-0.15554,pristine,*O
Coact-Oads,-0.45113,-0.20891,pristine,*O
Coact-Oads,-0.401,-0.24054,pristine,*O
Coact-Oads,-0.35088,-0.32702000000000003,pristine,*O
Coact-Oads,-0.30075,-0.3252,pristine,*O
Coact-Oads,-0.25063,-0.21272000000000002,pristine,*O
Coact-Oads,-0.2005,-0.23857,pristine,*O
Coact-Oads,-0.15038,-0.35302,pristine,*O
Coact-Oads,-0.10025,-0.3453,pristine,*O
Coact-Oads,-0.05013,-0.22044999999999998,pristine,*O
Coact-Oads,0.0,-0.09406,pristine,*O
Coact-Oads,0.05013,-0.06929,pristine,*O
Coact-Oads,0.10025,-0.05706,pristine,*O
Coact-Oads,0.15038,-0.01317,pristine,*O
Coact-Oads,0.2005,-0.0006900000000000001,pristine,*O
Coact-Oads,0.25063,-1e-05,pristine,*O
Coact-Oads,0.30075,-0.00015000000000000001,pristine,*O
Coact-Oads,0.35088,-0.00446,pristine,*O
Coact-Oads,0.401,-0.05078,pristine,*O
Coact-Oads,0.45113,-0.11944,pristine,*O
Coact-Oads,0.50125,-0.08045,pristine,*O
Coact-Oads,0.55138,-0.04281,pristine,*O
Coact-Oads,0.6015,-0.010530000000000001,pristine,*O
Coact-Oads,0.65163,-0.0009699999999999999,pristine,*O
Coact-Oads,0.70175,-9e-05,pristine,*O
Coact-Oads,0.75188,0.0,pristine,*O
Coact-Oads,0.80201,-3e-05,pristine,*O
Coact-Oads,0.85213,-6e-05,pristine,*O
Coact-Oads,0.90226,-1e-05,pristine,*O
